Sort,測試項目,Test Item,Test Item,Remark
b,bRAID11,Raid 設置與狀態檢測測試,建立Raid 0磁碟陣列建立並檢查內部狀態,
c,cBDT10,確認Board Mfg. Date/Time(BDT)  ,,
c,cBIOS11,BIOS版本確認,,
c,cCOM14,序列埠 (COM Port) 測試,"python3 ./SerialTest.py (參考PySerial 的官方說明書，是用Python 操作 COM port的指南)
RTS (Request To Send) <-> CTS (Clear To Send)
DTR (Data Terminal Ready) <-> DSR (Data Set Ready)
DTR <-> DCD (Data Carrier Detect)
RTS <-> RI (Ring Indicator)
TXD (Transmit Data) <-> RXD (Receive Data)",
c,cCPLD10,CPLD FW版本讀取確認,CPLD_Version_Defined,
c,cCPU10,CPU版本,"CPU數量
UPI (Ultra Path Interconnect) 最低速度 (高速點對點傳輸技術)
UPI 連線數量為",
c,cDIMM11,記憶體測試,"DIMM_min_size
DIMM_min_speed_defined
DIMM_count_by_size_defined",
c,cDMI10,Direct Media Interface 測試 (Intel 設計的一種高速點對點傳輸匯流排),"DMI_Link_Speed_Defined=8
DMI_Link_Bandwidth_Defined=8",
c,cEject20,熱插拔測試,透過IPMICFG工具移除NVME，並確認是否NVME亮綠燈,
c,cFWInventory10,FW版本讀取確認,BMC、BIOS、CPLD……等,
c,cIPMI11,BMC版本確認、IPMI FRU資訊確認,,
c,cJL10_JL1_Short,短路JL1模擬Chassis入侵狀態 (透過BMC sensor reading),讀取sensor reading 顯示Chassis異常 --> 清除入侵警報 --> 讀取sensor reading確認chassis正常 --> 短路JL1 --> chassis異常 --> 清除入侵警報,
c,cMEMLatency10,記憶體延遲,"MEMLatency_toolpath=Intel_MEMLatency/mlc_v3.11a
MEMLatency_InjectDelay=0 (沒有額外延遲輸入)
MEMLatency_latency_threshold=500 (設定 ns)",
c,cNCSI11,BMC網路模式測試,"0: Dedicated --> BMC 獨立使用專用管理網路。
1: Shared --> BMC 使用與伺服器主網路介面共享的 LAN 端口。
2: Failover --> BMC 會在 Dedicated / Shared 之間自動切換。
3: Share-AIOM --> 使用 AIOM 模組的共享 LAN 端口（本次測試的目標）。
5: Failover-AIOM --> 使用 AIOM 模組的 Failover 模式（在 AIOM 介面與 Dedicated 介面之間切換）。",
c,cNVMeHD10,NVME HD測試,列出所有NVME數量，確認與ini設定一樣,
c,cNVMeLED10,LED燈號測試,點亮背板上NVME的燈號確認是否可以locate LED,
c,cOHLED10,MBD overheat LED測試,OP目視檢驗,
c,cPCI20,PCIE相關規格測試,"參考ini檔案確認有沒有連到PCIE
數量
速度
通道數量",
c,cPOWER10,PSU測試,"定義數量、備用電源測試
備用電源：OP斷電PSU1，確認PSU2正常工作；斷電PSU2，確認PSU1正常工作",
